               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 172,            0.038418,             0.01307,                   0,             0.69386,             0.66129,             0.69825,             0.36258,            0.045254,            0.021509,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.039234,            0.013252,                   0,             0.68607,             0.65211,             0.67682,             0.36894,            0.045613,            0.021671,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.036415,            0.012627,                   0,             0.69601,             0.65323,             0.72478,             0.37799,            0.043632,            0.021021,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.038008,            0.013188,                   0,             0.79186,             0.66129,             0.73624,             0.38788,            0.042499,            0.021717,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.038405,            0.013022,                   0,             0.66132,             0.70161,             0.69048,             0.37631,            0.043994,             0.02285,                   0,            0.004225,            0.004225,            0.004225
                 177,            0.036686,            0.012919,                   0,             0.75428,              0.6189,             0.71383,             0.37433,            0.043432,            0.022074,                   0,            0.004192,            0.004192,            0.004192
                 178,            0.037119,            0.013187,                   0,             0.72201,             0.73387,             0.75193,             0.38555,             0.04324,            0.021322,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.037366,            0.012458,                   0,             0.74756,             0.62903,             0.70773,             0.38817,            0.041888,            0.021013,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.036885,             0.01178,                   0,             0.77235,             0.62929,             0.69643,             0.38948,             0.04241,             0.02161,                   0,            0.004093,            0.004093,            0.004093
                 181,            0.037434,            0.012363,                   0,             0.73534,             0.66129,             0.70722,             0.38696,            0.042795,            0.022093,                   0,             0.00406,             0.00406,             0.00406
                 182,            0.037524,            0.012235,                   0,             0.69841,             0.69355,              0.7015,             0.36407,            0.044173,             0.02206,                   0,            0.004027,            0.004027,            0.004027
                 183,            0.037997,            0.013468,                   0,             0.76053,             0.64031,             0.71149,             0.37517,             0.04413,            0.020798,                   0,            0.003994,            0.003994,            0.003994
                 184,            0.037067,            0.012912,                   0,             0.75115,             0.65323,             0.71365,             0.36854,            0.044193,            0.021709,                   0,            0.003961,            0.003961,            0.003961
                 185,            0.036174,            0.012871,                   0,              0.7449,             0.68292,             0.72162,              0.3574,            0.044303,            0.021582,                   0,            0.003928,            0.003928,            0.003928
                 186,            0.036291,            0.013025,                   0,             0.69996,             0.62097,             0.67538,             0.33758,            0.045688,            0.022287,                   0,            0.003895,            0.003895,            0.003895
                 187,            0.035713,            0.011646,                   0,             0.73977,             0.67742,             0.70942,             0.36993,            0.043966,            0.021778,                   0,            0.003862,            0.003862,            0.003862
                 188,            0.035683,            0.012404,                   0,             0.76377,             0.66935,             0.71613,             0.38555,            0.043425,            0.021523,                   0,            0.003829,            0.003829,            0.003829
                 189,            0.037248,            0.012275,                   0,             0.69023,              0.7188,             0.71989,             0.38268,             0.04285,            0.021675,                   0,            0.003796,            0.003796,            0.003796
                 190,             0.03636,            0.011391,                   0,             0.76523,              0.6309,             0.69932,             0.37604,            0.042997,            0.022682,                   0,            0.003763,            0.003763,            0.003763
                 191,            0.035869,            0.012249,                   0,             0.78806,             0.59974,              0.7071,             0.36444,            0.043306,             0.02319,                   0,             0.00373,             0.00373,             0.00373
                 192,            0.035687,            0.013598,                   0,             0.74784,             0.64516,             0.71144,             0.37218,            0.042064,            0.021908,                   0,            0.003697,            0.003697,            0.003697
                 193,            0.035835,             0.01221,                   0,             0.64435,             0.70968,             0.68554,             0.36747,            0.043059,            0.022472,                   0,            0.003664,            0.003664,            0.003664
                 194,            0.036037,            0.011516,                   0,             0.71663,             0.62097,             0.65614,              0.3576,            0.044227,              0.0233,                   0,            0.003631,            0.003631,            0.003631
                 195,            0.035001,            0.011838,                   0,             0.77072,             0.59677,             0.68441,             0.37055,            0.043845,            0.022533,                   0,            0.003598,            0.003598,            0.003598
